Name,Net weight,Price
"Silver Swan Soy Sauce | 1L","1",53.5
"Good Life Premium First Class Vermicelli | 500g","500",149.5
"Excellent Pancit Canton | 200g","200",67.5
"Nissin Mini Cup Noodles Hot Creamy Seafood | 48g","48",21.5
"Payless Pancit Canton Extra Big Sweet and Spicy | 125g","125",17.75
"Lucky Me Special Baked Mac | 70g","70",24.75
"Lasap Gata Powder Mix | 40g","40",26.5
"Sunshine Hot Sauce | 85g","85",17.5
"JUFRAN SWEET CHILI SAUCE 285G","285",51
"Jufran Red Hot Chili Sauce | 165g","165",49.5
"Jufran Banana Ketchup | 275g","275",34.5
"HUNTS PORK&BEANS 390G","390",59
"White King Arroz Caldo | 113g","113",37.5
"Quick Chow Pancit Canton Chilimansi | 65g","65",10.75
"Quick Chow Pancit Canton Toyomansi | 65g","65",10.75
"Nissin Pasta Sweet Filipino Style | 60g","60",16
"Good Life Egg Noodles | 200g","200",57.5
"Good Life Sesame Oil | 210mL","210",155
"Del Monte Recipe Menudo Mix | 80g","80",31.5
"DEL MONTE RECIPE MIX CALDERETA 80G","80",28.5
"DEL MONTE RECIPE MIX AFRITADA 80G","80",31.5
"Ajinomoto Pork Savor Seasoning Mix | 8g 12pcs","8",41.5
"San Marino Premium Spanish Sardines | 240g","240",167
"Liberty Premium Chicken Luncheon Meat | 340g","340",88.5
"Liberty Premium Beef Luncheon Meat | 340g","340",91.5
"Hunt's Chili Beef And Beans | 100g","100",19.25
"SM Bonus Spaghetti | 250g","250",26
"SM Bonus Misua | 250g","250",31
"SM Bonus Macaroni Salad | 400g","400",31.5
"SM Bonus Virgin Coconut Oil | 250ml","250",144.75
"SM BONUS VINEGAR WHITE 500ML","500",18.75
"SM BONUS SWEET CHILI SAUCE 550G","550",48.5
"SM Bonus Real Mayo | 220ml","220",79.5
"SM BONUS PATIS ESPECIAL 1L","1",59.75
"SM BONUS IODIZED SALT 500G","500",18
"SM BONUS COCONUT MILK POWDER 50G","50",27.5
"SM BONUS COCONUT CREAM 400ML","400",63.5
"SM BONUS CHINESE SOY SAUCE 1L","1",45
"SM Bonus Bread Crumbs | 1kg","1",155
"SM BONUS BAGOONG REGULAR 250G","250",73.5
"SM BONUS BAGOONG SPICY 250G","250",73.5
"SM BONUS WHITE PEPPER POWDER 60G","60",52.5
"SM BONUS PREMIUM COOKING RICE WINE 750ML","750",209.75
