Category,Name,Net weight,Price
"Beverage","Mountain Dew Pet Regular | 500ml","500",34.5
"Beverage","Mountain Dew Zero Sugar | 500ml","500",34.5
"Beverage","Mountain Dew Zero Sugar | 320ml","320",34.5
"Beverage","Mountain Dew Zero Sugar | 1.5L","1.5",65.95
"Beverage","Sip Purified Water | 350ml","350",10
"Beverage","Sip Purified Water | 1L","1",20
"Beverage","Sip Purified Water | 500ml","500",12
"Beverage","Monster Energy Drink Green | 355ml","355",89.5
"Beverage","Blue Enlivening Orange | 500ml","500",37.5
"Beverage","Blue Peppy Lychee | 500ml","500",37.5
"Beverage","Blue Inspiring Calamansi | 500ml","500",37.5
"Beverage","Absolute Distilled Water | 1.5L","1.5",36
"Beverage","Sola Iced Tea Lemon | 473ml","473",62.5
"Beverage","Sola Iced Tea Raspberry | 473ml","473",62.5
"Beverage","Real Leaf Green Tea Honey Lemon | 480ml","480",24.5
"Beverage","Real Leaf Green Tea Honey Apple | 480ml","480",24.5
"Beverage","Nestea Iced Tea Lemon Ice | 500ml","500",26.95
"Beverage","Nestea Iced Tea Lemon | 500ml","500",26.95
"Beverage","Nestea Iced Tea Apple | 500ml","500",26.95
"Beverage","Lipton Tea Red | 450ml","450",27.95
"Beverage","Lipton Tea Lemon | 450ml","450",27.95
"Beverage","C2 Red Tea Raspberry | 355ml","355",26.5
"Beverage","C2 Green Tea Apple | 355mL","355",26.5
"Beverage","C2 Green Tea Lemon | 1L","1",56.5
"Beverage","C2 Green Tea Plain | 500mL","500",31.5
"Beverage","C2 Green Tea Lemon | 455ml","455",31.5
"Beverage","C2 Green Tea Apple | 500mL","500",28.5
"Beverage","ZestO Calamansi Soda in Can | 330ml","330",33.95
"Beverage","ZestO Soda Calamansi | 1.5L","1.5",61.5
"Beverage","ZestO Soda Dalandan | 1.5L","1.5",61.5
"Beverage","ZestO Dalandan Soda in Can | 330ml","330",33.95
"Beverage","Sprite Zero | 320ml","320",37.5
"Beverage","Schweppes Can Tonic Water | 320ml","320",38.5
"Beverage","Schweppes Sparkging Soda Water | 330mL Can","330",38.5
"Beverage","Royal Can Tru Orange | 320ml","320",37.5
