Category,Name,Net weight,Price
"Bakery","Danish Bun Japanese Melon | 75g","75",100
"Bakery","Danish Bun Custard | 75g","75",100
"Bakery","Tokyo Mochi Waffle Custard | 70g","70",135
"Bakery","Tokyo Mochi Waffle Strawberry | 70g","70",135
"Bakery","Tokyo Mochi Waffle Chocolate | 70g","70",135
"Bakery","Marby Soup & Salad Croutons | 70g","70",34
"Bakery","Signature Select Ravioli Beef | 708g","708",480
"Bakery","Kokola Favorrico Chocolate Chip Cookie |400g","400",114.5
"Bakery","Sweet Station Mallow Stripes |100g","100",29.5
"Bakery","Sweet Station Mallow Cake |100g","100",29.5
"Bakery","Hotsa Siopao Special Ube | 360g 6pcs","360",75
"Bakery","Village Gourmet Pita Pocket | 276g 6pcs","276",156
"Bakery","Village Gourmet Tortilla 6inch | 12pcs","12",181
"Bakery","Sliced Crepe Cake Original | 68g","68",145
"Bakery","Sliced Crepe Cake Tiramisu | 68g","68",145
"Bakery","Sliced Crepe Cake Strawberry | 68g","68",145
"Bakery","Sliced Crepe Cake Matcha | 68g","68",145
"Bakery","Wang Sharksfin Dumpling | 680g","680",331
"Bakery","Wang Shrimp Dumpling | 680g","680",331
"Bakery","Wang Mushroom Dumpling | 680g","680",289
"Bakery","Hokkaido Cream Puff Milk | 60g","60",120
"Bakery","Tiffany Sliced Pianono Choco | 60g","60",32
"Bakery","Tiffany Sliced Pianono Plain | 60g","60",31
"Bakery","Tiffany Sliced Pianono Mocca | 60g","60",31
"Bakery","K Chef Korean Hotdog | 500g 5pcs","500",235
"Bakery","Dorayaki Pancake With Red Bean Paste | 5pcs","5",340
"Bakery","Signature Select Pizza Rolls Pepperoni | 567g","567",519
"Bakery","Signature Select Pizza Rolls Cheese | 567g","567",380
"Bakery","UG Cheesy Ube Pandan Delight | 440g","440",139
"Bakery","Allgroo Chive Gyoza Mandu | 540g","540",209
"Bakery","Allgroo Vegetable Gun Mandu | 540g","540",209
"Bakery","Allgroo Vegetable Gyoza Mandu | 540g","540",209
"Bakery","Hokkaido Eclair Cake With Chocolate | 53g","53",135
"Bakery","K Chef Japchae Noodle | 500g","500",195
"Bakery","Uncle George French Baguette | 500g","500",89
"Bakery","Village Gourmet Gourme Bagel Blueberry | 360g 4pcs","360",235
"Bakery","Village Gourmet Gourme Bagel Plain | 360g 4pcs","360",228
"Bakery","Village Gourmet Bagel Whole Wheat Banana | 360g 4pcs","360",228
"Bakery","Marby Beef Asado Siopao | 340g 4pcs","340",134
"Bakery","Village Gourmet Pita Pocket Whole Wheat Large | 330g 4pcs","330",154
"Bakery","Village Gourmet English Muffins | 23g 4pcs","23",144
"Bakery","Hotsa Siopao Special Asado | 4pcs","4",116
"Bakery","Marby Siopao Corned Tuna | 4pcs","4",77
"Bakery","Hotsa Special Bola Bola Siopao | 4pcs","4",119
"Bakery","Marby Siopao Bola Bola | 4pcs","4",102
"Bakery","Safoco Rice Paper | 300g 48pcs","300",105
"Bakery","Signature Select Pancakes Buttermilk | 468g","468",320
"Bakery","Tiffany Dinner Square | 460g","460",70
"Bakery","Signature Select Tempura Cauliflower | 454g","454",450
"Bakery","Mruha Nchro Fried Rice Takana Pilaf | 450g","450",365
"Bakery","Mruha Nchro Chicken Burdock Rice | 450g","450",365
"Bakery","Maruha Nichiro Friedrice Grilledpork | 450g","450",365
"Bakery","Maruha Nichiro Friedrice Bibimbap | 450g","450",365
"Bakery","Village Gourmet Pizza Crust Large Thin | 450g","450",236
"Bakery","Uncle George Cinnamon Walnut Ring | 440g","440",183
"Bakery","Uncle George Whole Wheat Loaf Sugar Free | 420g","420",115
"Bakery","LBL Pinoy Tasty | 450g","450",44
"Bakery","Allgroo Vegetable Bibimbap | 440g","440",299
"Bakery","Allgroo King Prawn Fried Rice | 420g","420",299
"Bakery","Allgroo Japchae Fried Rice | 420g","420",279
"Bakery","Allgroo Kimch Fried Rice | 420g","420",279
"Bakery","FNC Nathaniels Frozen Lasagna | 420g","420",220
"Bakery","Uncle George Cinnamon Raisin Bread | 420g","420",88
"Bakery","SM Bonus Whole Wheat Loaf | 400g","400",63
"Bakery","Goldilocks Beef Caldereta Ready To Eat | 400g","400",470
"Bakery","Allgroo Cheese and Sausage Corndog | 400g","400",359.5
"Bakery","Allgroo Classic Korean Corndog | 400g","400",359.5
"Bakery","Goldilocks Kare Kare Ready To Eat | 400g","400",340
"Bakery","Allgroo Basil Chicken Gyoza Mandu | 400g","400",259
"Bakery","Allgroo Spicy Chicken Gyoza Mandu | 400g","400",259
"Bakery","Allgroo Smoked Chicken Gyoza Mandu | 400g","400",259
"Bakery","Goldilocks Pork Dinuguan Ready To Eat | 400g","400",250
"Bakery","K Chef Seafood Dumpling | 400g","400",280
"Bakery","K Chef Pork Dumpling | 400g","400",270
"Bakery","K Chef Bulgogi Dumpling | 400g","400",270
"Bakery","K Chef Vegetable Dumpling | 400g","400",210
"Bakery","Marby Whole Wheat Bread | 400g","400",72.5
"Bakery","Village Gourmet Tortillas Whl Wheat 10inch | 390g 6pcs","390",236
"Bakery","Wang Vegetable Dumpling | 675g","675",303.5
"Bakery","Village Gourmet Gourme Bagel Cinnamon Raisin | 360g","360",235
"Bakery","Village Gourmet Brioche Burger Buns | 360g","360",126
"Bakery","Tiffany Special Ensaymada | 360g","360",74
"Bakery","Signature Select Waffles Buttermilk | 350g","350",258
"Bakery","Marby Buns Reg Dinner Roll | 350g","350",101.5
"Bakery","Tiffany Potato Pandesal | 350g","350",56
"Bakery","Maruha Nichiro Stir Fried Noodle | 346g","346",340
"Bakery","Signature Select Classics Lasagna With Sauce | 342g","342",380
"Bakery","Bambi Pizza Pie All Meat | 320g","320",186
"Bakery","Village Gourmet Gourme Bread Batard Stick Soft | 320g","320",217
"Bakery","Bambi Pizza Pie Pepperoni | 320g","320",174
"Bakery","Uncle George Gourmet Breads Raisin Panderosa | 320g","320",65
"Bakery","Marby Special Vegetable Lumpia | 300g","300",100
"Bakery","Niko Oishi Gyoza | 300g","300",185
"Bakery","Village Gourmet Tortillas Whole Wheat 6inch | 300g 12pcs","300",184
"Bakery","Village Gourmet Gourme Bread Batard Sourdough | 300g","300",162
"Bakery","Village Gourmet Gourme Bread Batard French Loaf | 300g","300",160
"Bakery","Village Gourmet Gourme Bread Baguette French | 300g","300",137
"Bakery","Marby Cakes Cake Pancake | 300g","300",67.5
"Bakery","Lbl Wheat Loaf | 300g","300",42
"Bakery","Tiffany Ensaymada Small | 180g 2pcs","180",58
"Bakery","Bambi Pizza Crust Economy Big | 320g 2pcs","320",50.5
"Bakery","Village Gourmet Pizza Crust Super Thin | 250g 2pcs","250",176
"Bakery","Tiffany Torta | 220g 2pcs","220",58
"Bakery","Marby Ensaymada Mongo | 150g 2pcs","150",74
"Bakery","Marby Ensaymada Ube | 150g 2pcs","150",73.5
"Bakery","Tiffany Sliced Chocolate Cake | 2pcs","2",62
"Bakery","Tiffany Sliced Carrot Cake | 2pcs","2",64
