Category,Name,Net weight,Price
"Snacks","7D Dried Mango | 100g","100",138.5
"Snacks","Wl Muncher Coated Greenpeas | 70g","70",16.95
"Snacks","WL Super Bawang | 100g","100",24.5
"Snacks","WL Muncher Coated Greenpeas Beef Spicy | 200g","200",48.5
"Snacks","WL Corn Bits Nuts Special Bbq | 70g","70",16.95
"Snacks","Wl Corn Bits Nuts Special Mix | 70g","70",18.5
"Snacks","Wl Corn Bits Nuts Special Original | 70g","70",16.95
"Snacks","WL Corn Bits Supreme Bbq | 200g","200",48.5
"Snacks","Wl Corn Bits Supreme Mix | 200g","200",51.5
"Snacks","Tobi Squash Seeds | 100g","100",69.5
"Snacks","Tobi Toasted Cashew Nuts | 100g","100",164.5
"Snacks","Sugo Greaseless Hot & Spicy Peanuts | 50g","50",14.5
"Snacks","Sugo Greaseless Salted Peanuts | 50g","50",14.5
"Snacks","Sugo Grease Less Hot and Spicy Peanuts | 100g","100",36.5
"Snacks","Sugo Grease Less Salted Peanuts | 100g","100",36.5
"Snacks","Oishi Mobster Caramel Cheese Popcorn | 60g","60",19.5
"Snacks","Oishi Chocolate Popcorn | 60g","60",19.5
"Snacks","Oishi Popcorn Caramel | 60g","60",19.5
"Snacks","Nut N Else Wow Casoy Garlic | 300g","300",409.5
"Snacks","Nut N Else Wow Mani Garlic Peanut | 400g","400",251.5
"Snacks","Nagaraya Cracker Nuts BBQ | 80g","80",23.5
"Snacks","Nagaraya Cracker Nuts Hot Spicy | 80g","80",23.5
"Snacks","Nagaraya Cracker Nuts Adobo | 160g","160",46.5
"Snacks","Nagaraya Cracker Nuts BBQ | 160g","160",46.5
"Snacks","Nagaraya Cracker Nuts Garlic | 160g","160",46.5
"Snacks","Nagaraya Cracker Nuts Hot & Spicy | 160g","160",46.5
"Snacks","Nagaraya Cracker Nuts Butter | 160g","160",46.5
"Snacks","Boy Bawang Adobo | 90g","90",21.5
"Snacks","Boy Bawang Hot Garlic | 90g","90",21.5
"Snacks","Boy Bawang Chili Cheese | 80g","80",21.5
"Snacks","Boy Bawang Chichacorn Garlic | 100g","100",32.5
"Snacks","Kettle Korn Butter Licious | 120g","120",54.5
"Snacks","Kettle Korn Whole Grain Glazed Popcorn Salted Caramel | 120g","120",54.5
"Snacks","Kettle Korn Whole Grain Glazed Popcorn Sweet & Salty | 120g","120",54.5
"Snacks","Kettle Korn Whole Grain Glazed Popcorn Cheese | 120g","120",54.5
"Snacks","JBC Hi Ho Bbq Coated Nuts | 5g 20pcs","5",24.5
"Snacks","Happy Classic Adobong Mani | 100g","100",36.5
"Snacks","Happy Peanut Sweet Chili | 100g","100",36.5
"Snacks","Dingdong Sweet & Spicy | 95g","95",24.5
"Snacks","Dingdong Mixed Nuts | 5g 20pcs","5",24.5
"Snacks","Dingdong Hot & Spicy | 100g","100",24.5
"Snacks","Rebisco Dingdong Real Garlic | 100g","100",24.5
"Snacks","Growers Peanut Garlic Party Pack | 280g","280",126.5
"Snacks","Growers Peanut Savour Hot Party Pack | 280g","280",136.5
"Snacks","Growers Toasted Cashew Nuts | 80g","80",89
"Snacks","Growers Cashew Nuts Salted | 80g","80",114.5
"Snacks","Growers Savoury Hot Peanut | 80g","80",46.5
"Snacks","Growers Peanut Garlic S | 8g 20pcs","8",48.5
"Snacks","Growers Peanut Garlic | 80g","80",34.5
"Snacks","Porkybest Chicharon | 100g","100",79.5
"Snacks","Porkybest Chicharon Hot Family Size | 100g","100",79.5
"Snacks","Goldilocks Ube Polvoron | 300g 12pcs","300",199.5
"Snacks","Goldilocks Polvoron Cashew | 300g 12pcs","300",199.5
"Snacks","Goldilocks Cookies & Cream Polvoron | 300g 12pcs","300",199.5
"Snacks","Fry & Pop Lobster Crackers | 200g","200",47.5
"Snacks","Fry & Pop Vegetable Crackers | 200g","200",47.5
"Snacks","Fry & Pop Shimp Crackers | 200g","200",47.5
"Snacks","Fry & Pop Onion & Garlic | 200g","200",47.5
"Snacks","Fry & Pop Squid Flakes | 200g","200",47.5
